139	REFUTED	gate_log_rotation_ok AND --check-gate-log-rotation are BOTH absent from validate-mandatory-rules.sh (grep rc=1 each; control --check-clean-tree present at :49,57,64,67 rc=0). The proposed survivor pin:1011 sits under "## Validator-fork retirement record" whose OWN PREAMBLE at pin:981-983 declares every entry there already CLOSED and deliberately uses human re-check markers instead of machine directives. CLOSING A LIVE MACHINE-VERIFIABLE CANDIDATE INTO A DECLARED-CLOSED SECTION REMOVES IT FROM ledger-reverify.sh's CORPUS. pin:1011's own re-check tests only --check-clean-tree and Visual verification, both PASS, so it CANNOT FIRE on the surviving remainder. pin:1011 is internally contradictory: "no live gate used it" AND "still a push candidate" in one parenthetical. DISPOSITION: narrow 139 to the gate-log-rotation half, keep OPEN with its verify: line intact
157	CLOSE-CONFIRMED	Attacked headline AND the reshaped two-implied-roots defect. SKILL.md:777 and :779 both installed-root-qualified. Verified IN THE CONSUMER TREE too: graph SKILL.md:777 carries the same text, the schema exists there, and the third clause is discharged - overrides/SKILL__provenance-schema-pointer.md is GONE (control: overrides/ non-empty, 5+ siblings). 2b49736 confirmed by CONTENT not CHANGELOG
271	CLOSE-CONFIRMED	Ran the allowlist-vs-exclusion attack. Core's target enumeration at artifact-consolidation.md:10-11 is a SUPERSET of the consumer's three, and :19-26 excludes gate-log.md generically where the consumer's was per-name - covers strictly more. The one dropped element (retro.md Step 5e pointer) is already routed to a separate consumer-only entry at pin:241-242, so it is not buried. d6b595a confirmed via git log -S
273	CLOSE-NARROWED	SURVIVING SUB-CLAIM: the Field Verification EVIDENCE PROCEDURE for the PRODUCER surface. grep -rn -i 'query-shape|query shape|changes that add fields' core/ = rc=1 ACROSS THE WHOLE CORE TREE (control: 'response field access patterns' hits code-reviewer.md:121). Core's only procedure (:116-129) is headed "(API-Consuming Stories)" and its step 1 enumerates READ patterns only. And :223-228 is the ONLY rule in that severity section with NO "Evidence required:" clause (controls at :194,:212,:219,:399 all carry one). THE FIRST PASS'S "ROUTING NIT" JUDGEMENT IS WRONG: gate Check 10 is a different ACTOR, a different ARTIFACT and a different TIME, and is itself gated on "skip if no stories modify API queries" - it PRESUMES someone already knows a query changed, which is exactly what the missing step-1 clause provides. Core has a producer severity rule whose triggering condition nothing instructs the reviewer to look for: the rule-that-cannot-fire shape
275	CLOSE-CONFIRMED	Consumer file at aec80d1d2^ is 16 lines; ALL SIX clauses present in core/team-roles/qa.md:65-74 and in the consumer's own installed copy at :68-77. a2170e5 is the SOLE commit touching that heading (git log -S) and names the clause. Deletion-on-absorption confirmed AT THE SOURCE not by inference: layer-adjudication-register.jsonl carries still-additive then RETIRE with reason "Fully absorbed... Nothing in the entry survives core"
281	CLOSE-NARROWED	tea.md half CONFIRMED: core/team-roles/tea.md predates the entry (43bffa0 v0.21.0, 3 commits total), cmp vs consumer HEAD IDENTICAL, install.sh:342 copies by GLOB so delivery is derived. The consumer's own Test-Architect content is NOT lost - it lives in overrides/team-roles__tea__consumer-drift.md with a base_sha and extensions/roles/tea-consumer.md marked push_candidate false. SURVIVING SUB-CLAIM, in the same entry's body: ".claude/skills/ai-dlc/templates/ is a consumer-only subdirectory". 6 of its 8 files are now byte-identical to core and shipped, but TWO ARE NOT - audit-anchors.md.template cannot be reached by install.sh's *.md glob, and pvc-presentation-template.md lives upstream at templates/pipeline/ which install.sh NEVER copies. Neither is pushable, but retiring the section on "core has a templates/ dir now" is a DIRECTORY-EXISTENCE check standing in for a PER-FILE one, and two files fail it
297	CLOSE-CONFIRMED	Enumerated the consumer's ENTIRE rejection set out of the fork (10 literals, only 2 shared with core's 8) and ran EVERY ONE through the shipping core validator. All 10 rejected: 2 as forbidden, 8 as pattern-miss against ^toolu_[A-Za-z0-9_-]{6,}$, empty as required-but-EMPTY. Control toolu_01ABCdefGHI rc=0. Core is a STRICT SUPERSET. The only thing core does not reproduce is a reason slug, and the two retired slugs appear in ZERO executable files in the consumer tree (control: the live slug returns 3 files under scripts/)
302	CLOSE-CONFIRMED	Ran the attack directly: NON-retro artifact, transcript_path inline -> rc=1 pattern-miss; control valid citation -> rc=0. The two states where the pattern does NOT run (tp ABSENT, tp EMPTY on a non-retro artifact) are states THE CONSUMER'S GUARD ALSO DOES NOT FIRE ON - its test is tp == "inline" exactly and its missing-transcript arm is retro-only - so neither is a divergence. REPRODUCED AGAINST THE v0.60.0 ENGINE ITSELF: the entry's premise was false the day it was written
305	CLOSE-CONFIRMED	Substance absorbed and BROADER not narrower. RAN the shipping scanner on the real tree: --strays PASS rc=0. CONTROL in a mktemp copy with only retro.md's BEGIN/END GENERATED markers stripped -> rc=1 FAIL, proving the carve-out is load-bearing on exactly the named case. Slug parity: core builds GEN_OPEN/GEN_CLOSE from schema region_slug, bound by I48. Default population is the WHOLE tree plus a consumer extension point, so a consumer needs no separate scanner. Wording correction: it strips only regions whose slug is provenance-block, not "every GENERATED region" - but the consumer's carve-out has the same slug so no gap
351	CLOSE-CONFIRMED	Both halves present and THE ENTRY'S OWN ACCEPTANCE CRITERION IS MET. retro.md:612-618 directs --dir/--since and requires N>1. validate-steering-budget.sh:603 emits the excluded count whenever SINCE is set - the non-regression condition the filer себя insisted on. Attacked the strongest surviving-sub-claim candidate (the ask for N == session count) and REJECTED it: that sentence sits inside a paragraph the entry itself labels "Plausible shape (not prescribed)", and the entry's own fix note accepts N>1 verbatim
